Date,Week,Advertiser,Channel,Channel / Tactic,Country,Currency,Website,Tactic,Brand,Booked Impressions,Clicks,Commissions (Local),Commissions (USD),Impressions,Media Cost (Local),Media Cost (USD),Net Items,New Users,Orders,Orders/Click,Quantity,Revenue (Local),Revenue (USD),Sales (Local),Sales (USD),Sessions,Transactions,Video Completions,Video Plays
2017-01-01,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,GQ,Equity,Brand A,,,,,,,0.0,,1.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,QuantCast,Equity,Brand A,0.0,10.0,,,13822.0,33.59,49.05,,14.0,,,,0.0,0.0,,,68.0,0.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,affiliatewindow.co.uk,Equity,Brand A,,,,,,,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - UK,Display,Display - Remarketing,UK,GBP,Criteo,Remarketing,Brand A,,1489.0,,,144188.0,302.29,441.35,,29.0,,,,1258.28,1837.09,,,1568.0,23.0,,
2017-01-01,2017-01-01,Brand A - UK,Paid Search,Brand - Paid Search,UK,GBP,Bing,Brand,Brand A,,229.0,,,787.0,66.26,96.74,,132.0,,,,322.62,471.03,,,235.0,5.0,,
2017-01-01,2017-01-01,Brand A - UK,Social,Social - Equity,UK,GBP,Facebook,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,8.0,0.0,,
2017-01-01,2017-01-01,Brand A - UK,Social,Social - Remarketing,UK,GBP,Facebook,Remarketing,Brand A,,,,,,,,,168.0,,,,394.98,576.67,,,571.0,5.0,,
2017-01-01,2017-01-01,Brand A - UK,Social,Social - Remarketing,UK,GBP,Instagram,Remarketing,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,6.0,0.0,,
2017-01-01,2017-01-01,Brand A - US,Affiliates,Affiliates - Affiliates,CA,CAD,LinkShare,Affiliates,Brand A,,,,,,,,,8.0,,,,0.0,0.0,,,39.0,0.0,,
2017-01-01,2017-01-01,Brand A - US,Affiliates,Affiliates - Affiliates,UK,GBP,LinkShare,Affiliates,Brand A,,,,,,,,,19.0,,,,66.98,97.79,,,93.0,1.0,,
2017-01-01,2017-01-01,Brand A - US,Affiliates,Affiliates - Affiliates,US,USD,LinkShare,Affiliates,Brand A,,4243.0,1518.27,1518.27,2032.0,1518.27,1518.27,546.0,701.0,300.0,377.29,549.0,19636.49,19636.49,24303.91,24303.91,4281.0,219.0,,
2017-01-01,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,Exponential,Equity,Brand A,0.0,282.0,,,464351.0,0.0,0.0,,129.0,,,,0.0,0.0,,,182.0,0.0,48.0,59.0
2017-01-01,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,GQ,Equity,Brand A,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,,0.0,0.0,,,12.0,0.0,0.0,1.0
2017-01-01,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,QuantCast,Equity,Brand A,0.0,214.0,,,104266.0,279.73,279.73,,106.0,,,,0.0,0.0,,,173.0,0.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,Refinery29.com,Equity,Brand A,,,,,,,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,Who What Wear,Equity,Brand A,0.0,1.0,,,4.0,0.06,0.06,,1.0,,,,0.0,0.0,,,3.0,0.0,0.0,0.0
2017-01-01,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,wmagazine.com,Equity,Brand A,0.0,0.0,,,5.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0
2017-01-01,2017-01-01,Brand A - US,Display,Display - Remarketing,US,USD,Criteo,Remarketing,Brand A,,9585.0,,,1292502.0,6614.71,6614.71,,206.0,,,,8438.05,8438.05,,,8296.0,108.0,,
2017-01-01,2017-01-01,Brand A - US,Paid Search,Brand - Paid Search,US,USD,Bing,Brand,Brand A,,695.0,,,3020.0,143.81,143.81,,300.0,,,,829.5,829.5,,,686.0,9.0,,
2017-01-01,2017-01-01,Brand A - US,Paid Search,Brand - Paid Search,US,USD,Yahoo,Brand,Brand A,,430.0,,,1424.0,48.72,48.72,,134.0,,,,320.0,320.0,,,297.0,5.0,,
2017-01-01,2017-01-01,Brand A - US,Paid Search,Unbranded - Paid Search,US,USD,Bing,Unbranded,Brand A,,,,,,,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - US,Social,Social - Equity,US,USD,Facebook,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,14.0,0.0,,
2017-01-01,2017-01-01,Brand A - US,Social,Social - Equity,US,USD,Instagram,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - US,Social,Social - Remarketing,US,USD,Facebook,Remarketing,Brand A,,,,,,,,,665.0,,,,2007.33,2007.33,,,4187.0,31.0,,
2017-01-01,2017-01-01,Brand A - US,Social,Social - Remarketing,US,USD,Instagram,Remarketing,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,20.0,0.0,,
2017-01-01,2017-01-01,Brand A Brand CA,Paid Search,Paid Search - Brand,CA,CAD,Adwords,Brand,Brand A,,6095.0,,,22125.0,972.27,720.2,,2807.0,,,,10962.36,8120.27,,,7897.0,134.0,,
2017-01-01,2017-01-01,Brand A Brand US,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand A,,16635.0,,,84428.0,4171.79,4171.79,,9228.0,,,,32065.34,32065.34,,,22892.0,378.0,,
2017-01-01,2017-01-01,Brand A Nonbrand CA,Paid Search,Paid Search - Unbranded,CA,CAD,Adwords,Unbranded,Brand A,,604.0,,,65687.0,1213.31,898.75,,238.0,,,,120.0,88.89,,,712.0,2.0,,
2017-01-01,2017-01-01,Brand A Nonbrand US,Paid Search,Paid Search - Unbranded,US,USD,Adwords,Unbranded,Brand A,,1621.0,,,401689.0,1923.06,1923.06,,664.0,,,,1009.34,1009.34,,,2173.0,15.0,,
2017-01-01,2017-01-01,Brand A Shopping CA,Paid Search,Paid Search - PLA,CA,CAD,Adwords,PLA,Brand A,,537.0,,,46644.0,849.37,629.16,,245.0,,,,532.99,394.81,,,695.0,8.0,,
2017-01-01,2017-01-01,Brand A Shopping US,Paid Search,Paid Search - PLA,US,USD,Adwords,PLA,Brand A,,4454.0,,,555279.0,5365.94,5365.94,,2374.0,,,,3541.95,3541.95,,,4997.0,50.0,,
2017-01-01,2017-01-01,Brand B CA,Paid Search,Paid Search - Brand,CA,CAD,Adwords,Brand,Brand B,,3871.0,,,9507.0,157.18,116.43,,1586.0,,,,6401.54,4741.88,,,5068.0,104.0,,
2017-01-01,2017-01-01,Brand B CA,Paid Search,Paid Search - Unbranded,CA,CAD,Adwords,Unbranded,Brand B,,568.0,,,48913.0,880.78,652.43,,310.0,,,,483.27,357.98,,,525.0,10.0,,
2017-01-01,2017-01-01,Brand B US,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand B,,2191.0,,,64911.0,571.22,571.22,,1314.0,,,,2633.89,2633.89,,,2765.0,60.0,,
2017-01-01,2017-01-01,Brand B - CA - US,Display,Display - Remarketing,CA,CAD,Criteo,Remarketing,Brand B,,0.0,,,4.0,0.0,0.0,,0.0,,,,63.72,47.2,,,47.0,1.0,,
2017-01-01,2017-01-01,Brand B - CA - US,Paid Search,Brand - Paid Search,CA,CAD,Bing,Brand,Brand B,,111.0,,,349.0,5.36,3.97,,42.0,,,,71.98,53.32,,,101.0,1.0,,
2017-01-01,2017-01-01,Brand B - CA - US,Social,Social - Equity,CA,CAD,Facebook,Equity,Brand B,,,,,,,,,0.0,,,,0.0,0.0,,,2.0,0.0,,
2017-01-01,2017-01-01,Brand B - CA - US,Social,Social - Remarketing,CA,CAD,Facebook,Remarketing,Brand B,,,,,,,,,3.0,,,,0.0,0.0,,,10.0,0.0,,
2017-01-01,2017-01-01,Brand B - US,Display,Display - Equity,US,USD,AMNET,Equity,Brand B,0.0,0.0,,,1.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0
2017-01-01,2017-01-01,Brand B - US,Display,Display - Equity,US,USD,QuantCast,Equity,Brand B,0.0,0.0,,,1.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0
2017-01-01,2017-01-01,Brand B - US,Display,Display - Remarketing,US,USD,Criteo,Remarketing,Brand B,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,57.0,0.0,,
2017-01-01,2017-01-01,Brand B - US,Paid Search,Brand - Paid Search,US,USD,Bing,Brand,Brand B,,103.0,,,917.0,12.33,12.33,,58.0,,,,98.98,98.98,,,102.0,2.0,,
2017-01-01,2017-01-01,Brand B - US,Social,Social - Remarketing,US,USD,Facebook,Remarketing,Brand B,,,,,,,,,0.0,,,,0.0,0.0,,,8.0,0.0,,
2017-01-01,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,CA,CAD,Adwords,Brand,Brand A,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,UK,GBP,Adwords,Brand,Brand A,,1435.0,,,55382.0,683.05,997.25,,760.0,,,,2190.65,3198.35,,,1741.0,43.0,,
2017-01-01,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand B,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - Other,Paid Search,Paid Search - Other,US,USD,Adwords,Other,Brand A,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - Other,Paid Search,Paid Search - Unbranded,CA,CAD,Adwords,Unbranded,Brand A,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-01,2017-01-01,Brand A - Other,Paid Search,Paid Search - Unbranded,UK,GBP,Adwords,Unbranded,Brand A,,5859.0,,,317663.0,3616.47,5280.05,,3297.0,,,,8312.47,12136.21,,,6960.0,150.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Affiliates,Affiliates - Affiliates,CA,CAD,LinkShare,Affiliates,Brand A,,707.0,155.31,115.05,937.0,155.31,115.05,97.0,155.0,50.0,112.15,99.0,4048.46,2998.86,3882.82,2876.16,695.0,40.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Affiliates,Affiliates - Affiliates,US,USD,LinkShare,Affiliates,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,Exponential,Equity,Brand A,0.0,0.0,,,390.0,1.01,0.75,,0.0,,,,0.0,0.0,,,19.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,GQ,Equity,Brand A,,,,,,,0.0,,0.0,,,,85.0,62.96,,,2.0,1.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,QuantCast,Equity,Brand A,0.0,36.0,,,24366.0,0.01,0.01,,4.0,,,,0.0,0.0,,,36.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,Refinery29.com,Equity,Brand A,0.0,0.0,,,9.0,0.13,0.09,,1.0,,,,0.0,0.0,,,3.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - CA - EN,Display,Display - Equity,CA,CAD,Who What Wear,Equity,Brand A,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - CA - EN,Display,Display - Remarketing,CA,CAD,Criteo,Remarketing,Brand A,,4132.0,,,660878.0,1730.49,1281.84,,117.0,,,,2497.83,1850.24,,,3822.0,32.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Paid Search,Brand - Paid Search,CA,CAD,Bing,Brand,Brand A,,350.0,,,1052.0,33.06,24.49,,160.0,,,,494.5,366.3,,,349.0,5.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Social,Social - Equity,CA,CAD,Facebook,Equity,Brand A,,,,,,,,,1.0,,,,0.0,0.0,,,4.0,0.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Social,Social - Remarketing,CA,CAD,Facebook,Remarketing,Brand A,,,,,,,,,2.0,,,,295.0,218.52,,,218.0,2.0,,
2017-01-02,2017-01-01,Brand A - CA - EN,Social,Social - Remarketing,CA,CAD,Instagram,Remarketing,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,25.0,0.0,,
2017-01-02,2017-01-01,Brand A - CA - FR,Display,Display - Equity,CA,CAD,QuantCast,Equity,Brand A,0.0,0.0,,,11.0,0.03,0.02,,0.0,,,,0.0,0.0,,,6.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - CA - FR,Display,Display - Remarketing,CA,CAD,Criteo,Remarketing,Brand A,,,,,,0.0,,,7.0,,,,0.0,0.0,,,139.0,0.0,,
2017-01-02,2017-01-01,Brand A - UK,Affiliates,Affiliates - Affiliates,UK,GBP,LinkShare,Affiliates,Brand A,,98.0,85.88,125.39,1.0,85.88,125.39,34.0,31.0,21.0,69.32,34.0,1061.19,1549.34,1431.35,2089.77,95.0,16.0,,
2017-01-02,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,Exponential,Equity,Brand A,0.0,0.0,,,119.0,0.0,0.0,,1.0,,,,0.0,0.0,,,2.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,GQ,Equity,Brand A,,,,,,,0.0,,1.0,,,,0.0,0.0,,,4.0,0.0,,
2017-01-02,2017-01-01,Brand A - UK,Display,Display - Equity,UK,GBP,QuantCast,Equity,Brand A,0.0,11.0,,,7115.0,13.73,20.04,,2.0,,,,112.5,164.25,,,39.0,2.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - UK,Display,Display - Remarketing,UK,GBP,Criteo,Remarketing,Brand A,,1555.0,,,167748.0,334.3,488.07,,35.0,,,,803.11,1172.54,,,1557.0,18.0,,
2017-01-02,2017-01-01,Brand A - UK,Paid Search,Brand - Paid Search,UK,GBP,Bing,Brand,Brand A,,261.0,,,814.0,74.51,108.79,,125.0,,,,446.95,652.55,,,263.0,8.0,,
2017-01-02,2017-01-01,Brand A - UK,Social,Social - Equity,UK,GBP,Facebook,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,13.0,0.0,,
2017-01-02,2017-01-01,Brand A - UK,Social,Social - Remarketing,UK,GBP,Facebook,Remarketing,Brand A,,,,,,,,,177.0,,,,172.48,251.82,,,586.0,4.0,,
2017-01-02,2017-01-01,Brand A - UK,Social,Social - Remarketing,UK,GBP,Instagram,Remarketing,Brand A,,,,,,,,,1.0,,,,55.0,80.3,,,7.0,1.0,,
2017-01-02,2017-01-01,Brand A - US,Affiliates,Affiliates - Affiliates,CA,CAD,LinkShare,Affiliates,Brand A,,,,,,,,,16.0,,,,0.0,0.0,,,40.0,0.0,,
2017-01-02,2017-01-01,Brand A - US,Affiliates,Affiliates - Affiliates,UK,GBP,LinkShare,Affiliates,Brand A,,,,,,,,,26.0,,,,115.98,169.33,,,108.0,2.0,,
2017-01-02,2017-01-01,Brand A - US,Affiliates,Affiliates - Affiliates,US,USD,LinkShare,Affiliates,Brand A,,4782.0,1544.41,1544.41,2330.0,1544.41,1544.41,540.0,1047.0,305.0,347.48,541.0,19475.27,19475.27,25418.33,25418.33,5058.0,209.0,,
2017-01-02,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,Exponential,Equity,Brand A,0.0,0.0,,,974.0,0.0,0.0,,5.0,,,,0.0,0.0,,,41.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,GQ,Equity,Brand A,0.0,0.0,,,1.0,0.0,0.0,,0.0,,,,0.0,0.0,,,4.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,QuantCast,Equity,Brand A,0.0,331.0,,,112338.0,318.62,318.62,,191.0,,,,78.62,78.62,,,280.0,1.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,Who What Wear,Equity,Brand A,0.0,1.0,,,3.0,0.02,0.02,,0.0,,,,0.0,0.0,,,1.0,0.0,0.0,0.0
2017-01-02,2017-01-01,Brand A - US,Display,Display - Equity,US,USD,wmagazine.com,Equity,Brand A,0.0,0.0,,,1.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0
2017-01-02,2017-01-01,Brand A - US,Display,Display - Remarketing,US,USD,Criteo,Remarketing,Brand A,,9459.0,,,1311237.0,5166.25,5166.25,,182.0,,,,8115.39,8115.39,,,8755.0,105.0,,
2017-01-02,2017-01-01,Brand A - US,Paid Search,Brand - Paid Search,US,USD,Bing,Brand,Brand A,,837.0,,,3722.0,170.86,170.86,,416.0,,,,1386.84,1386.84,,,828.0,17.0,,
2017-01-02,2017-01-01,Brand A - US,Paid Search,Brand - Paid Search,US,USD,Yahoo,Brand,Brand A,,503.0,,,1595.0,69.51,69.51,,174.0,,,,519.99,519.99,,,383.0,6.0,,
2017-01-02,2017-01-01,Brand A - US,Paid Search,Unbranded - Paid Search,US,USD,Bing,Unbranded,Brand A,,,,,,,0.0,,0.0,,,,0.0,0.0,,,2.0,0.0,,
2017-01-02,2017-01-01,Brand A - US,Social,Social - Equity,US,USD,Facebook,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,9.0,0.0,,
2017-01-02,2017-01-01,Brand A - US,Social,Social - Equity,US,USD,Instagram,Equity,Brand A,,,,,,,,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-02,2017-01-01,Brand A - US,Social,Social - Remarketing,US,USD,Facebook,Remarketing,Brand A,,,,,,,,,751.0,,,,1500.66,1500.66,,,4531.0,20.0,,
2017-01-02,2017-01-01,Brand A - US,Social,Social - Remarketing,US,USD,Instagram,Remarketing,Brand A,,,,,,,,,0.0,,,,125.0,125.0,,,28.0,1.0,,
2017-01-02,2017-01-01,Brand A Brand CA,Paid Search,Paid Search - Brand,CA,CAD,Adwords,Brand,Brand A,,8055.0,,,29055.0,1433.11,1061.56,,3668.0,,,,11800.93,8741.43,,,9963.0,130.0,,
2017-01-02,2017-01-01,Brand A Brand US,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand A,,19207.0,,,100798.0,4949.03,4949.03,,10672.0,,,,27811.81,27811.81,,,26072.0,349.0,,
2017-01-02,2017-01-01,Brand A Nonbrand CA,Paid Search,Paid Search - Unbranded,CA,CAD,Adwords,Unbranded,Brand A,,334.0,,,45598.0,333.6,247.11,,169.0,,,,549.23,406.84,,,476.0,7.0,,
2017-01-02,2017-01-01,Brand A Nonbrand US,Paid Search,Paid Search - Unbranded,US,USD,Adwords,Unbranded,Brand A,,1602.0,,,330602.0,1437.66,1437.66,,671.0,,,,745.17,745.17,,,2132.0,9.0,,
2017-01-02,2017-01-01,Brand A Shopping CA,Paid Search,Paid Search - PLA,CA,CAD,Adwords,PLA,Brand A,,597.0,,,53149.0,608.14,450.47,,277.0,,,,253.5,187.78,,,708.0,5.0,,
2017-01-02,2017-01-01,Brand A Shopping US,Paid Search,Paid Search - PLA,US,USD,Adwords,PLA,Brand A,,1976.0,,,142006.0,612.19,612.19,,934.0,,,,3622.23,3622.23,,,2828.0,44.0,,
2017-01-02,2017-01-01,Brand B CA,Paid Search,Paid Search - Brand,CA,CAD,Adwords,Brand,Brand B,,5013.0,,,12026.0,193.23,143.13,,2035.0,,,,8464.94,6270.33,,,6293.0,150.0,,
2017-01-02,2017-01-01,Brand B CA,Paid Search,Paid Search - Unbranded,CA,CAD,Adwords,Unbranded,Brand B,,871.0,,,65037.0,1355.27,1003.9,,457.0,,,,302.78,224.28,,,767.0,7.0,,
2017-01-02,2017-01-01,Brand B US,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand B,,2717.0,,,59607.0,670.06,670.06,,1561.0,,,,3533.18,3533.18,,,3363.0,81.0,,
2017-01-02,2017-01-01,Brand B - CA - US,Display,Display - Remarketing,CA,CAD,Criteo,Remarketing,Brand B,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,42.0,0.0,,
2017-01-02,2017-01-01,Brand B - CA - US,Paid Search,Brand - Paid Search,CA,CAD,Bing,Brand,Brand B,,192.0,,,500.0,8.97,6.64,,82.0,,,,268.93,199.21,,,177.0,4.0,,
2017-01-02,2017-01-01,Brand B - CA - US,Social,Social - Equity,CA,CAD,Facebook,Equity,Brand B,,,,,,,,,0.0,,,,0.0,0.0,,,2.0,0.0,,
2017-01-02,2017-01-01,Brand B - CA - US,Social,Social - Remarketing,CA,CAD,Facebook,Remarketing,Brand B,,,,,,,,,8.0,,,,0.0,0.0,,,30.0,0.0,,
2017-01-02,2017-01-01,Brand B - US,Display,Display - Remarketing,US,USD,Criteo,Remarketing,Brand B,,1.0,,,0.0,0.75,0.75,,0.0,,,,83.98,83.98,,,55.0,1.0,,
2017-01-02,2017-01-01,Brand B - US,Paid Search,Brand - Paid Search,US,USD,Bing,Brand,Brand B,,131.0,,,1225.0,15.01,15.01,,59.0,,,,170.95,170.95,,,129.0,3.0,,
2017-01-02,2017-01-01,Brand B - US,Social,Social - Equity,US,USD,Facebook,Equity,Brand B,,,,,,,,,0.0,,,,0.0,0.0,,,2.0,0.0,,
2017-01-02,2017-01-01,Brand B - US,Social,Social - Remarketing,US,USD,Facebook,Remarketing,Brand B,,,,,,,,,0.0,,,,0.0,0.0,,,8.0,0.0,,
2017-01-02,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,CA,CAD,Adwords,Brand,Brand A,,0.0,,,0.0,0.0,0.0,,1.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-02,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,UK,GBP,Adwords,Brand,Brand A,,1144.0,,,13903.0,191.07,278.96,,610.0,,,,2579.32,3765.81,,,1469.0,40.0,,
2017-01-02,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand A,,0.0,,,0.0,0.0,0.0,,3.0,,,,0.0,0.0,,,3.0,0.0,,
2017-01-02,2017-01-01,Brand A - Other,Paid Search,Paid Search - Brand,US,USD,Adwords,Brand,Brand B,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,3.0,0.0,,
2017-01-02,2017-01-01,Brand A - Other,Paid Search,Paid Search - Unbranded,UK,GBP,Adwords,Unbranded,Brand A,,4262.0,,,79097.0,684.49,999.36,,2319.0,,,,7849.26,11459.92,,,5408.0,134.0,,
2017-01-02,2017-01-01,Brand A - Other,Paid Search,Paid Search - Unbranded,US,USD,Adwords,Unbranded,Brand A,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,1.0,0.0,,
2017-01-03,2017-01-01,Brand A - CA - EN,Affiliates,Affiliates - Affiliates,CA,CAD,LinkShare,Affiliates,Brand A,,648.0,246.86,182.86,1089.0,246.86,182.86,74.0,127.0,42.0,63.87,75.0,2324.76,1722.04,3790.69,2807.92,614.0,28.0,,
